type,month,value
ticket,1,3682356
ticket,2,3601310
ticket,3,3767128
ticket,4,3604942
ticket,5,3781399
ticket,6,3550907
ticket,7,3730836
ticket,8,3733862
ticket,9,3547476
ticket,10,3901154
ticket,11,3817753
ticket,12,4079626
one_way,1,1433541
one_way,2,1690895
one_way,3,1262804
one_way,4,1221172
one_way,5,1290035
one_way,6,1340715
one_way,7,1557531
one_way,8,1416801
one_way,9,1125967
one_way,10,1229605
one_way,11,1161526
one_way,12,1251713
one_day,1,7024
one_day,2,10595
one_day,3,2043
one_day,4,2727
one_day,5,2272
one_day,6,2340
one_day,7,3463
one_day,8,1918
one_day,9,1275
one_day,10,1565
one_day,11,1401
one_day,12,1543
group,1,26335
group,2,31640
group,3,30560
group,4,21251
group,5,19424
group,6,18461
group,7,32795
group,8,23278
group,9,16746
group,10,17076
group,11,15652
group,12,20516
other,1,49934
other,2,11782
other,3,6912
other,4,4704
other,5,7113
other,6,7747
other,7,31437
other,8,14236
other,9,6025
other,10,17338
other,11,22756
other,12,35086
