type,month,value
ticket,1,2975992
ticket,2,3070912
ticket,3,3057629
ticket,4,3074643
ticket,5,3163598
ticket,6,3090922
ticket,7,3403046
ticket,8,3250913
ticket,9,3249859
ticket,10,3467772
ticket,11,3391193
ticket,12,3934930
one_day,1,18280
one_way,1,1859905
one_way,2,1517673
one_way,3,1151016
one_way,4,1254200
one_way,5,1194628
one_way,6,1194628
one_way,7,1655578
one_way,8,1526074
one_way,9,1286702
one_way,10,1261837
one_way,11,1173791
one_way,12,1688247
one_day,2,14243
one_day,3,6993
one_day,4,7858
one_day,5,6034
one_day,6,6034
one_day,7,13753
one_day,8,11460
one_day,9,8493
one_day,10,6985
one_day,11,5355
one_day,12,14207
group,1,29123
group,2,26450
group,3,18333
group,4,17931
group,5,21251
group,6,15232
group,7,31310
group,8,27322
group,9,11147
group,10,16083
group,11,18242
group,12,19131
other,1,19723
other,2,9980
other,3,4558
other,4,5966
other,5,5280
other,6,5280
other,7,9153
other,8,8089
other,9,5269
other,10,5973
other,11,5837
other,12,128335
