type,month,value
ticket,1,3942109
ticket,2,3533406
ticket,3,3753594
ticket,4,3557902
ticket,5,3723444
ticket,6,3540173
ticket,7,3762760
ticket,8,3644947
ticket,9,3564898
ticket,10,3815409
ticket,11,3646194
ticket,12,4009725
one_way,1,1369668
one_way,2,1676091
one_way,3,1165544
one_way,4,1186031
one_way,5,1222667
one_way,6,1202001
one_way,7,1401182
one_way,8,1415870
one_way,9,1169666
one_way,10,1162974
one_way,11,1065044
one_way,12,1230266
one_day,1,2293
one_day,2,3642
one_day,3,1449
one_day,4,1778
one_day,5,1426
one_day,6,1748
one_day,7,2942
one_day,8,2654
one_day,9,1662
one_day,10,1721
one_day,11,1056
one_day,12,1041
group,1,18544
group,2,40008
group,3,17719
group,4,19211
group,5,21222
group,6,22938
group,7,30218
group,8,26467
group,9,14231
group,10,16810
group,11,16472
group,12,21948
other,1,31438
other,2,10893
other,3,8587
other,4,5853
other,5,6770
other,6,6452
other,7,11360
other,8,11388
other,9,9543
other,10,12356
other,11,14768
other,12,23321
