type,month,value
ticket,1,2646047
ticket,2,2582503
ticket,3,2585882
ticket,4,2588271
ticket,5,2614610
ticket,6,2549807
ticket,7,2838181
ticket,8,2826934
ticket,9,2750325
ticket,10,2947769
ticket,11,2884264
ticket,12,3180126
one_way,1,1297281
one_way,2,1889913
one_way,3,1020672
one_way,4,1228222
one_way,5,1122694
one_way,6,1220822
one_way,7,1573227
one_way,8,1459899
one_way,9,1192026
one_way,10,1277328
one_way,11,1156232
one_way,12,1390107
one_day,1,33824
one_day,2,87655
one_day,3,20568
one_day,4,35425
one_day,5,22350
one_day,6,30373
one_day,7,50054
one_day,8,44483
one_day,9,28144
one_day,10,31907
one_day,11,23392
one_day,12,31432
group,1,19890
group,2,33740
group,3,15863
group,4,14577
group,5,14470
group,6,15422
group,7,29287
group,8,26198
group,9,13496
group,10,15300
group,11,15600
group,12,17578
other,1,8123
other,2,29478
other,3,4808
other,4,8006
other,5,6036
other,6,5423
other,7,9353
other,8,8870
other,9,6593
other,10,10524
other,11,12093
other,12,33154
