type,month,value
ticket,1,2405404
ticket,2,2296257
ticket,3,2436108
ticket,4,2486228
ticket,5,2477679
ticket,6,2328607
ticket,7,2663036
ticket,8,2645829
ticket,9,2325183
ticket,10,2676542
ticket,11,2608324
ticket,12,2871155
one_way,1,1222201
one_way,2,1793938
one_way,3,1058459
one_way,4,1133180
one_way,5,1112566
one_way,6,1083191
one_way,7,1446423
one_way,8,1467855
one_way,9,1041525
one_way,10,1144454
one_way,11,1044543
one_way,12,1224863
one_day,1,59364
one_day,2,151716
one_day,3,31864
one_day,4,34686
one_day,5,28408
one_day,6,34716
one_day,7,54625
one_day,8,58358
one_day,9,28464
one_day,10,25114
one_day,11,23590
one_day,12,29166
group,1,21587
group,2,36026
group,3,18542
group,4,21824
group,5,24767
group,6,14901
group,7,33556
group,8,25336
group,9,13425
group,10,20042
group,11,20254
group,12,17988
other,1,18251
other,2,65561
other,3,6323
other,4,6516
other,5,10168
other,6,5092
other,7,8156
other,8,9671
other,9,3810
other,10,5092
other,11,4841
other,12,44863
