type,month,value
ticket,1,2516070
ticket,2,2322223
ticket,3,2313602
ticket,4,2327361
ticket,5,2532720
ticket,6,2161193
ticket,7,2724803
ticket,8,2294900
ticket,9,2157749
ticket,10,2445972
ticket,11,2321468
ticket,12,2578640
one_way,1,1772317
one_way,2,1224641
one_way,3,959271
one_way,4,961705
one_way,5,1224638
one_way,6,974149
one_way,7,1513184
one_way,8,1212995
one_way,9,890548
one_way,10,946052
one_way,11,1022375
one_way,12,1222775
one_day,1,28098
one_day,2,13055
one_day,3,6528
one_day,4,6389
one_day,5,12689
one_day,6,44177
one_day,7,125691
one_day,8,72344
one_day,9,31676
one_day,10,31886
one_day,11,37162
one_day,12,53843
group,1,42671
group,2,24115
group,3,21660
group,4,24546
group,5,22798
group,6,21810
group,7,38007
group,8,27144
group,9,13781
group,10,17120
group,11,24864
group,12,22681
other,1,37943
other,2,4196
other,3,197
other,4,128
other,5,12583
other,6,3852
other,7,39803
other,8,9027
other,9,5114
other,10,5955
other,11,7352
other,12,72242
