type,month,value
ticket,1,3752278
ticket,2,3781245
ticket,3,3736451
ticket,4,3711380
ticket,5,4109618
ticket,6,3974208
ticket,7,0
ticket,8,0
ticket,9,0
ticket,10,0
ticket,11,0
ticket,12,0
one_way,1,1269748
one_way,2,1627298
one_way,3,1050908
one_way,4,1167273
one_way,5,1287513
one_way,6,1355507
one_way,7,0
one_way,8,0
one_way,9,0
one_way,10,0
one_way,11,0
one_way,12,0
one_day,1,1162
one_day,2,1806
one_day,3,675
one_day,4,871
one_day,5,931
one_day,6,1262
one_day,7,0
one_day,8,0
one_day,9,0
one_day,10,0
one_day,11,0
one_day,12,0
group,1,25587
group,2,26455
group,3,25190
group,4,15425
group,5,22169
group,6,18345
group,7,0
group,8,0
group,9,0
group,10,0
group,11,0
group,12,0
other,1,10905
other,2,13332
other,3,8103
other,4,9463
other,5,15265
other,6,7934
other,7,0
other,8,0
other,9,0
other,10,0
other,11,0
other,12,0
