type,month,value
ticket,1,0
ticket,2,0
ticket,3,0
ticket,4,1466605
ticket,5,2046295
ticket,6,1970192
ticket,7,2074051
ticket,8,1991342
ticket,9,2158207
ticket,10,1972079
ticket,11,2426016
ticket,12,2542054
one_way,1,0
one_way,2,0
one_way,3,0
one_way,4,711998
one_way,5,918433
one_way,6,831192
one_way,7,1235181
one_way,8,1344248
one_way,9,1035571
one_way,10,1283276
one_way,11,1086046
one_way,12,1153162
one_day,1,0
one_day,2,0
one_day,3,0
one_day,4,3479
one_day,5,7237
one_day,6,5554
one_day,7,9331
one_day,8,8508
one_day,9,4525
one_day,10,11517
one_day,11,9102
one_day,12,9552
group,1,0
group,2,0
group,3,0
group,4,18458
group,5,21643
group,6,16444
group,7,34315
group,8,33288
group,9,14096
group,10,30694
group,11,33283
group,12,26468
other,1,0
other,2,0
other,3,0
other,4,0
other,5,0
other,6,0
other,7,0
other,8,0
other,9,0
other,10,0
other,11,285
other,12,168
